timestamp,cpu_percent,mem_pss_kb
2026-02-06 17:43:25,41.90,122000
2026-02-06 17:43:27,32.30,123916
2026-02-06 17:43:29,36.60,126960
2026-02-06 17:43:31,21.60,128656
2026-02-06 17:43:35,43.30,130340
2026-02-06 17:43:36,30.00,134860
2026-02-06 17:43:38,97.10,218212
2026-02-06 17:43:40,74.10,241988
2026-02-06 17:43:42,70.00,243440
2026-02-06 17:43:44,83.80,244724
2026-02-06 17:43:47,80.00,247068
2026-02-06 17:43:51,80.60,249012
2026-02-06 17:43:53,76.60,250156
2026-02-06 17:43:57,68.50,233384
2026-02-06 17:43:59,83.30,239880
2026-02-06 17:44:01,77.40,240948
2026-02-06 17:44:03,85.20,241348
2026-02-06 17:44:05,106.00,262060
2026-02-06 17:44:07,3.30,267004
2026-02-06 17:44:08,0.00,267312
2026-02-06 17:44:12,0.00,249396
2026-02-06 17:44:14,3.30,249624
2026-02-06 17:44:16,10.00,249600
2026-02-06 17:44:17,0.00,249596
2026-02-06 17:44:19,6.60,250488
2026-02-06 17:44:21,0.00,250488
2026-02-06 17:44:23,23.30,250488
2026-02-06 17:44:24,106.00,279356
2026-02-06 17:44:27,56.80,311132
2026-02-06 17:44:29,81.50,313440
2026-02-06 17:44:31,69.00,315996
2026-02-06 17:44:33,3.20,314092
2026-02-06 17:44:37,96.80,318864
2026-02-06 17:44:39,3.10,286884
2026-02-06 17:44:41,51.20,284116
2026-02-06 17:44:44,25.00,283460
2026-02-06 17:44:46,38.00,285940
2026-02-06 17:44:48,59.50,287352
2026-02-06 17:44:54,96.80,256540
2026-02-06 17:44:56,76.90,249360
2026-02-06 17:44:59,5.40,245628
2026-02-06 17:45:01,5.20,245764
2026-02-06 17:45:04,2.80,245800
2026-02-06 17:45:06,0.00,245800
2026-02-06 17:45:07,102.00,248440
2026-02-06 17:45:09,69.20,250820
2026-02-06 17:45:12,2.90,253932
2026-02-06 17:45:13,46.60,251000
2026-02-06 17:45:15,97.00,256000
2026-02-06 17:45:17,111.00,257676
2026-02-06 17:45:19,100.00,259220
2026-02-06 17:45:23,0.00,264172
2026-02-06 17:45:25,16.60,264424
2026-02-06 17:45:27,0.00,264680
