timestamp,type,level,detail
2026-02-06 17:46:11,STEP,I,완료 버튼 클릭: PASS ✅
2026-02-06 17:46:12,STEP,I,[OK] object exists: PASS ✅ - com.kyowon.literacy.store:id/btnRetry
2026-02-06 17:46:13,STEP,I,소리 내어 읽기_따라 읽기 완료 ✔️
2026-02-06 17:46:15,STEP,I,지문보기 클릭: PASS ✅
2026-02-06 17:46:18,STEP,I,지문보기 닫기: PASS ✅
2026-02-06 17:46:18,STEP,I,📋 [Basic Test / 기능] 술술 읽기 훈련 술술 읽기 훈련 ③: 성공
2026-02-06 17:46:18,STEP,I,[SUB] Ct.1 - 술술 읽기 훈련 독서 활동
2026-02-06 17:46:21,STEP,I,메뉴 오픈: PASS ✅
2026-02-06 17:46:25,STEP,I,독서 활동 진입: PASS ✅
2026-02-06 17:46:28,STEP,I,📋 [Basic Test / 노출] 술술 읽기 훈련 독서활동: PASS ✅
2026-02-06 17:46:33,STEP,I,다시 하기 버튼 감지 → 활동 재시작
2026-02-06 17:46:36,STEP,I,다시 하기 버튼 클릭: PASS ✅
2026-02-06 17:46:40,STEP,I,활동형_보기 선택이미지 감지 🔍
2026-02-06 17:46:44,STEP,I,보기 선택android.view.ViewGroup[0]: PASS ✅
2026-02-06 17:46:49,STEP,I,android.view.ViewGroup[0]: 오답 ⚠️
2026-02-06 17:46:52,STEP,I,보기 선택android.view.ViewGroup[1]: PASS ✅
2026-02-06 17:46:57,STEP,I,android.view.ViewGroup[1]: 정답 ✅
2026-02-06 17:47:00,STEP,I,정답 및 풀이 팝업 닫기: PASS ✅
2026-02-06 17:47:03,STEP,I,다음 버튼 클릭: PASS ✅
2026-02-06 17:47:07,STEP,I,다시 하기 버튼 감지 → 활동 재시작
2026-02-06 17:47:10,STEP,I,다시 하기 버튼 클릭: PASS ✅
2026-02-06 17:47:14,STEP,I,활동형_보기 선택텍스트 감지 🔍
2026-02-06 17:47:18,STEP,I,보기 선택울타리를 만들어 놓는다.: PASS ✅
2026-02-06 17:47:23,STEP,I,울타리를 만들어 놓는다.: 오답 ⚠️
2026-02-06 17:47:26,STEP,I,보기 선택발자국이나 배설물을 남긴다.: PASS ✅
2026-02-06 17:47:32,STEP,I,발자국이나 배설물을 남긴다.: 정답 ✅
2026-02-06 17:47:34,STEP,I,정답 및 풀이 팝업 닫기: PASS ✅
2026-02-06 17:47:38,STEP,I,다음 버튼 클릭: PASS ✅
2026-02-06 17:47:42,STEP,I,다시 하기 버튼 감지 → 활동 재시작
2026-02-06 17:47:44,STEP,I,다시 하기 버튼 클릭: PASS ✅
2026-02-06 17:47:48,STEP,I,문제형 감지 🔍
2026-02-06 17:47:51,STEP,I,스크롤 업 드래그: PASS ✅
2026-02-06 17:47:53,STEP,I,보기 상자 선택 or 드래그 문제 감지 🔍
2026-02-06 17:47:56,STEP,I,랜덤 상자 클릭: PASS ✅
2026-02-06 17:47:59,STEP,I,랜덤 상자 드래그: PASS ✅
2026-02-06 17:48:02,STEP,I,채점하기 클릭: PASS ✅
2026-02-06 17:48:05,STEP,I,다음 버튼 클릭: PASS ✅
2026-02-06 17:48:09,STEP,I,다시 하기 버튼 감지 → 활동 재시작
2026-02-06 17:48:11,STEP,I,다시 하기 버튼 클릭: PASS ✅
2026-02-06 17:48:15,STEP,I,문제형 감지 🔍
2026-02-06 17:48:18,STEP,I,스크롤 업 드래그: PASS ✅
2026-02-06 17:48:20,STEP,I,퀴즈 선택형 문제 감지 🔍
2026-02-06 17:48:23,STEP,I,랜덤 보기 클릭: 호랑이들이 다른 동물을 잡아먹지 못하도록 사람들이 막아야겠어.: PASS ✅
2026-02-06 17:48:26,STEP,I,채점하기 클릭: PASS ✅
2026-02-06 17:48:30,STEP,I,다음 버튼 클릭: PASS ✅
2026-02-06 17:48:33,STEP,I,다시 하기 버튼 감지 → 활동 재시작
2026-02-06 17:48:36,STEP,I,다시 하기 버튼 클릭: PASS ✅
2026-02-06 17:48:40,STEP,I,문제형 감지 🔍
2026-02-06 17:48:43,STEP,I,스크롤 업 드래그: PASS ✅
2026-02-06 17:48:45,STEP,I,보기 상자 선택 or 드래그 문제 감지 🔍
