timestamp,cpu_percent,mem_pss_kb
2026-02-11 10:08:34,127.00,1125244
2026-02-11 10:08:35,132.00,1123056
2026-02-11 10:08:37,128.00,1119756
2026-02-11 10:08:38,144.00,1120864
2026-02-11 10:08:40,139.00,1121964
2026-02-11 10:08:42,106.00,1123660
2026-02-11 10:08:43,113.00,1123992
2026-02-11 10:08:45,107.00,1121212
2026-02-11 10:08:48,117.00,1122164
2026-02-11 10:08:50,106.00,1122164
2026-02-11 10:08:53,121.00,1120660
2026-02-11 10:08:55,125.00,1121484
2026-02-11 10:08:56,125.00,1121480
2026-02-11 10:08:58,153.00,1119576
2026-02-11 10:09:00,117.00,1119984
2026-02-11 10:09:01,117.00,1120736
2026-02-11 10:09:04,157.00,1119984
2026-02-11 10:09:06,89.20,1086772
2026-02-11 10:09:09,89.20,1055396
2026-02-11 10:09:11,103.00,1055408
2026-02-11 10:09:12,100.00,1055412
2026-02-11 10:09:14,96.20,1055528
2026-02-11 10:09:15,100.00,1055532
2026-02-11 10:09:17,100.00,1055540
2026-02-11 10:09:18,92.50,1056156
2026-02-11 10:09:20,159.00,1077752
2026-02-11 10:09:25,159.00,1112252
2026-02-11 10:09:26,135.00,1115364
2026-02-11 10:09:28,155.00,1116556
2026-02-11 10:09:36,157.00,1112144
2026-02-11 10:09:38,89.20,1087668
2026-02-11 10:09:41,92.50,1058404
2026-02-11 10:09:42,85.10,1058588
2026-02-11 10:09:45,92.30,1058636
2026-02-11 10:09:47,77.70,1059168
2026-02-11 10:09:48,100.00,1059172
2026-02-11 10:09:50,92.50,1048460
2026-02-11 10:09:51,100.00,1048464
2026-02-11 10:09:53,103.00,1048524
2026-02-11 10:09:54,100.00,1048576
2026-02-11 10:09:56,103.00,1048584
2026-02-11 10:09:59,96.10,1077044
2026-02-11 10:10:00,92.30,1077316
2026-02-11 10:10:02,48.10,1087952
2026-02-11 10:10:03,81.40,1090700
2026-02-11 10:10:05,88.80,1091452
2026-02-11 10:10:06,144.00,1111796
2026-02-11 10:10:09,100.00,1113704
2026-02-11 10:10:11,103.00,1108268
2026-02-11 10:10:13,141.00,1108088
2026-02-11 10:10:14,136.00,1109944
2026-02-11 10:10:16,127.00,1111092
2026-02-11 10:10:18,130.00,1112252
2026-02-11 10:10:19,131.00,1112872
2026-02-11 10:10:21,123.00,1113316
2026-02-11 10:10:23,89.60,1085712
2026-02-11 10:10:27,92.80,1056228
2026-02-11 10:10:29,89.20,1057220
2026-02-11 10:10:31,82.10,1054172
2026-02-11 10:10:32,103.00,1054672
2026-02-11 10:10:34,103.00,1054960
2026-02-11 10:10:35,100.00,1054964
2026-02-11 10:10:37,103.00,1054968
2026-02-11 10:10:38,103.00,1055020
2026-02-11 10:10:39,100.00,1055028
2026-02-11 10:10:41,68.90,1089992
2026-02-11 10:10:43,185.00,1107140
2026-02-11 10:10:44,162.00,1106052
2026-02-11 10:10:48,153.00,1108596
2026-02-11 10:10:49,157.00,1108060
2026-02-11 10:10:51,157.00,1107824
2026-02-11 10:10:52,167.00,1109048
2026-02-11 10:10:54,171.00,1111176
2026-02-11 10:10:56,165.00,1112552
2026-02-11 10:10:59,175.00,1110196
2026-02-11 10:11:00,171.00,1111448
2026-02-11 10:11:02,168.00,1110544
2026-02-11 10:11:07,171.00,1089896
2026-02-11 10:11:09,157.00,1088296
2026-02-11 10:11:10,171.00,1088304
2026-02-11 10:11:14,160.00,1089384
2026-02-11 10:11:15,175.00,1088788
2026-02-11 10:11:17,100.00,1055152
2026-02-11 10:11:20,178.00,1058036
2026-02-11 10:11:22,157.00,1059420
2026-02-11 10:11:23,158.00,1060676
2026-02-11 10:11:25,158.00,1061884
2026-02-11 10:11:27,155.00,1060092
2026-02-11 10:11:28,158.00,1055308
2026-02-11 10:11:30,92.80,1038348
2026-02-11 10:11:31,92.80,1000760
2026-02-11 10:11:35,75.00,1000872
2026-02-11 10:11:41,107.00,1001192
2026-02-11 10:11:44,96.20,1001428
2026-02-11 10:11:45,107.00,1009320
2026-02-11 10:11:47,96.20,1009324
2026-02-11 10:11:48,103.00,1009336
2026-02-11 10:11:50,85.10,1038232
2026-02-11 10:11:52,144.00,1063468
2026-02-11 10:11:53,165.00,1063812
2026-02-11 10:11:55,162.00,1065448
2026-02-11 10:11:56,167.00,1059032
2026-02-11 10:11:58,157.00,1060352
2026-02-11 10:12:00,164.00,1061648
2026-02-11 10:12:01,157.00,1062868
2026-02-11 10:12:03,157.00,1065736
2026-02-11 10:12:05,167.00,1063196
2026-02-11 10:12:06,158.00,1062996
2026-02-11 10:12:08,171.00,1063720
2026-02-11 10:12:11,171.00,1065108
2026-02-11 10:12:13,123.00,1043424
2026-02-11 10:12:14,162.00,1045752
2026-02-11 10:12:16,158.00,1052468
2026-02-11 10:12:18,167.00,1054060
2026-02-11 10:12:19,162.00,1053572
2026-02-11 10:12:23,82.10,1003336
2026-02-11 10:12:24,89.20,1003456
2026-02-11 10:12:26,92.80,1004100
2026-02-11 10:12:27,78.50,1003940
2026-02-11 10:12:29,103.00,1003948
2026-02-11 10:12:30,103.00,1004044
2026-02-11 10:12:32,103.00,1004048
2026-02-11 10:12:33,100.00,1004100
2026-02-11 10:12:35,103.00,1004104
2026-02-11 10:12:36,130.00,1021044
